index,time_s,json_acc_x,json_acc_y,json_acc_z,json_acc_norm,acc_x_imu0,acc_y_imu0,acc_z_imu0,acc_norm_imu0,acc_x_imu1,acc_y_imu1,acc_z_imu1,acc_norm_imu1,max_json_to_instance_diff,max_instance_norm_difference
1,0,0,0,0,0,-0.00102572841569781,-0.000419312185840681,-0.00162011291831732,0.00196283146501759,-0.00366766424849629,-0.00154805753845721,-0.00232087331824005,0.00460811199314759,0.00460811199314759,0.00264528052813
2,0.01,0,0,0,0,-0.00102572841569781,-0.000419312185840681,-0.00162011291831732,0.00196283146501759,-0.00366766424849629,-0.00154805753845721,-0.00232087331824005,0.00460811199314759,0.00460811199314759,0.00264528052813
3,0.02,0,0,0,0,-0.00102572841569781,-0.000419312185840681,-0.00162011291831732,0.00196283146501759,-0.00366766424849629,-0.00154805753845721,-0.00232087331824005,0.00460811199314759,0.00460811199314759,0.00264528052813
4,0.03,0,0,0,0,-0.00102572841569781,-0.000419312185840681,-0.00162011291831732,0.00196283146501759,-0.00366766424849629,-0.00154805753845721,-0.00232087331824005,0.00460811199314759,0.00460811199314759,0.00264528052813
5,0.04,0,0,0,0,-0.00102572841569781,-0.000419312185840681,-0.00162011291831732,0.00196283146501759,-0.00366766424849629,-0.00154805753845721,-0.00232087331824005,0.00460811199314759,0.00460811199314759,0.00264528052813
6,0.05,0,0,0,0,-0.00102572841569781,-0.000419312185840681,-0.00162011291831732,0.00196283146501759,-0.00366766424849629,-0.00154805753845721,-0.00232087331824005,0.00460811199314759,0.00460811199314759,0.00264528052813
7,0.06,0,0,0,0,-0.00102572841569781,-0.000419312185840681,-0.00162011291831732,0.00196283146501759,-0.00366766424849629,-0.00154805753845721,-0.00232087331824005,0.00460811199314759,0.00460811199314759,0.00264528052813
8,0.07,0,0,0,0,-0.00102572841569781,-0.000419312185840681,-0.00162011291831732,0.00196283146501759,-0.00366766424849629,-0.00154805753845721,-0.00232087331824005,0.00460811199314759,0.00460811199314759,0.00264528052813
9,0.08,0,0,0,0,-0.00102572841569781,-0.000419312185840681,-0.00162011291831732,0.00196283146501759,-0.00366766424849629,-0.00154805753845721,-0.00232087331824005,0.00460811199314759,0.00460811199314759,0.00264528052813
10,0.09,0,0,0,0,-0.00102572841569781,-0.000419312185840681,-0.00162011291831732,0.00196283146501759,-0.00366766424849629,-0.00154805753845721,-0.00232087331824005,0.00460811199314759,0.00460811199314759,0.00264528052813
