frame_index,time_s,json_timestamp_s,frame_count,exchange_status,prearm_hold_active,parse_ok,required_fields_present,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,position_n,position_e,position_d,velocity_n,velocity_e,velocity_d,quat_w,quat_x,quat_y,quat_z,quat_norm,accel_norm,accel_align_to_minus_gravity,source_accel_x,source_accel_y,source_accel_z,linear_accel_x,linear_accel_y,linear_accel_z,gravity_body_x,gravity_body_y,gravity_body_z,ground_candidate,all_finite,accel_mode,accel_explanation
28,0.3172021,0.28,524,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
29,0.3305975,0.29,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
30,0.342697,0.3,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
31,0.3546418,0.31,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
32,0.3580456,0.32,525,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
33,0.3711329,0.33,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
34,0.3834632,0.34,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
35,0.392174,0.35,526,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
36,0.4050346,0.36,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
37,0.4177417,0.37,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
38,0.4255026,0.38,527,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
39,0.4384403,0.39,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
40,0.4506325,0.4,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
41,0.4623449,0.41,528,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
42,0.4757929,0.42,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
43,0.4882164,0.43,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
44,0.4961511,0.44,529,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
45,0.5094225,0.45,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
46,0.5214938,0.46,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
47,0.5296814,0.47,530,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
48,0.5429189,0.48,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
49,0.5548588,0.49,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
50,0.5637202,0.5,531,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
51,0.5768275,0.51,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
52,0.5889013,0.52,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
53,0.6001619,0.53,532,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
54,0.613022,0.54,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
55,0.6252262,0.55,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
56,0.6340411,0.56,533,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
57,0.6467967,0.57,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
58,0.6598113,0.58,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
59,0.6669607,0.59,534,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
60,0.6796051,0.6,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
61,0.6918031,0.61,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
62,0.7023361,0.62,535,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
63,0.7152441,0.63,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
64,0.7276423,0.64,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
65,0.7374667,0.65,536,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
66,0.7514726,0.66,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
67,0.7635413,0.67,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
68,0.7724961,0.68,537,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
69,0.7855113,0.69,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
70,0.7980603,0.7,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
71,0.8102078,0.71,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
72,0.8124286,0.72,538,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
73,0.8252282,0.73,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
74,0.8376848,0.74,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
75,0.845823,0.75,539,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
76,0.8587421,0.76,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
77,0.871064,0.77,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
78,0.8803764,0.78,540,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
79,0.8941307,0.79,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
80,0.906538,0.8,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
81,0.9186633,0.81,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
82,0.9206317,0.820000000000001,541,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
83,0.9337482,0.830000000000001,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
84,0.9466899,0.840000000000001,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
85,0.9549622,0.850000000000001,542,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
86,0.9678297,0.860000000000001,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
87,0.9802758,0.870000000000001,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
88,0.9920998,0.880000000000001,543,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
89,1.0055361,0.890000000000001,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
90,1.0180623,0.900000000000001,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
91,1.0300287,0.910000000000001,0,ответная передача,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,,
