time_s,time_us,msg_type,instance_id,AccX,AccY,AccZ,accel_norm,max_pairwise_difference
11.813143,11813143,IMU,0,-0.001025728415697813,-0.0004193121858406812,-0.001620112918317318,0.001962831465017588,0.0029571872030322815
11.813143,11813143,IMU,1,-0.003667664248496294,-0.0015480575384572148,-0.0023208733182400465,0.004608111993147591,0.0029571872030322815
12.363140999999999,12363141,IMU,0,-0.0004369641246739775,-0.0005228646332398057,-0.0017449534498155117,0.0018732825769136238,0.0025380222089329634
12.363140999999999,12363141,IMU,1,-0.0027210693806409836,-0.001589644467458129,-0.0014510134933516383,0.003469384421633133,0.0025380222089329634
12.883141,12883141,IMU,0,-0.0003753509954549372,-0.0009977682493627071,-0.0013088828418403864,0.0016880770547843778,0.0009955344642602847
12.883141,12883141,IMU,1,0.00025600596563890576,-0.0017518461681902409,-0.0014632970560342073,0.002296898414306544,0.0009955344642602847
13.453139,13453139,IMU,0,-0.0012149462709203362,-0.00220280303619802,-0.0002318017795914784,0.0025262952564037763,0.004793297174990892
13.453139,13453139,IMU,1,-0.003743511624634266,0.000871313561219722,-0.002902356442064047,0.004816299359729205,0.004793297174990892
13.993138,13993138,IMU,0,-0.0015808340394869447,-0.0010040437337011099,-0.0019374261610209942,0.0026945797833787784,0.0029788977435837942
13.993138,13993138,IMU,1,-5.310177948558703e-05,0.0014698475133627653,-0.0012895619729533792,0.0019560781154163175,0.0029788977435837942
14.54397,14543970,IMU,0,-0.0023479636292904615,-0.0005870545282959938,-0.0016988078132271767,0.0029569433897092736,0.0011134666459984971
14.54397,14543970,IMU,1,-0.001953728962689638,-0.0015396458329632878,-0.0012781454715877771,0.002796644774931898,0.0011134666459984971
15.073969,15073969,IMU,0,-0.0011390189174562693,-0.0007602428668178618,0.0006151217967271805,0.0015012355363764765,0.0026112017934489294
15.073969,15073969,IMU,1,0.00021706981351599097,-0.0023809396661818027,-0.0009187426185235381,0.0025612655069377852,0.0026112017934489294
15.583969,15583969,IMU,0,-0.0011100266128778458,-0.0008327432442456484,-0.0003514292184263468,0.0014314757726547743,0.0023336570670254024
15.583969,15583969,IMU,1,0.0009396711247973144,-0.0018359364476054907,0.00013672842760570347,0.0020669637455310256,0.0023336570670254024
16.113969,16113969,IMU,0,-0.00048775889445096254,-0.0020110849291086197,-0.0008290982805192471,0.0022292992822776888,0.002794951089426864
16.113969,16113969,IMU,1,0.00073458586120978,-0.0044144755229353905,-9.334115748060867e-05,0.004476150478007282,0.002794951089426864
16.633969,16633969,IMU,0,7.471883145626634e-05,-0.0009700946393422782,-0.000667021085973829,0.0011796540349562328,0.005905108763400558
16.633969,16633969,IMU,1,0.0017305717337876558,-0.0023030946031212807,0.004842204973101616,0.005634365295065736,0.005905108763400558
17.113969,17113969,IMU,0,-0.0012739432277157903,-0.0016708981711417437,-0.0008344062371179461,0.0022607666430459116,0.0025215299197325707
17.113969,17113969,IMU,1,-0.0003662944072857499,-0.0008797051850706339,0.0013810622040182352,0.0016779110872798602,0.0025215299197325707
17.292291,17292291,IMU,0,-0.0010432766284793615,-0.0016503570368513465,-0.0004411201225593686,0.0020016721597561405,0.0014093974516680183
17.292291,17292291,IMU,1,-0.0008484689751639962,-0.00028611000743694603,-0.000736554036848247,0.0011594267494623627,0.0014093974516680183
17.812291,17812291,IMU,0,-0.001360975089482963,0.000297451886581257,-0.0007990701706148684,0.0016060024771432898,0.0037628362499964063
17.812291,17812291,IMU,1,-0.0005320586496964097,-0.00316344341263175,-0.002021378604695201,0.003791626576439127,0.0037628362499964063
18.393124,18393124,IMU,0,-0.0008769012056291103,-0.001075131120160222,-0.0017300882609561086,0.0022176717612552342,0.0018319971619402023
18.393124,18393124,IMU,1,0.0008063654531724751,-0.000518713379278779,-0.001268323976546526,0.0015899479624804248,0.0018319971619402023
18.893124,18893124,IMU,0,-0.001957698492333293,-0.0008190647349692881,-0.0011791480937972665,0.0024277233479249823,0.0013463832738167091
18.893124,18893124,IMU,1,-0.0006396010285243392,-0.0006481940508820117,-0.001394020626321435,0.0016650941444548504,0.0013463832738167091
19.383124,19383124,IMU,0,-0.002045562956482172,-0.0009990707039833069,-0.0010650017065927386,0.002513304342003815,0.0025761456691275894
19.383124,19383124,IMU,1,-0.00035083582042716444,-0.0029339930042624474,-0.0009218160412274301,0.0030953425554888095,0.0025761456691275894
19.893124,19893124,IMU,0,-0.0008706384105607867,-0.00034453492844477296,-0.0008072410710155964,0.001236266033504385,0.002494397917993705
19.893124,19893124,IMU,1,-0.0032262862659990788,-0.0001139421365223825,-1.9985636754427105e-05,0.003228359537958256,0.002494397917993705
20.413124,20413124,IMU,0,-0.0017656371928751469,-8.61908556544222e-05,-0.0005225152708590031,0.0018433463507282963,0.0027521232235073767
20.413124,20413124,IMU,1,-0.0015278877690434456,-4.4060150685254484e-05,-0.003264026250690222,0.0036041988980723347,0.0027521232235073767
20.923123999999998,20923124,IMU,0,-0.0022427134681493044,-0.0016734414966776967,-0.0009938353905454278,0.0029694913582163788,0.0017486702361549508
20.923123999999998,20923124,IMU,1,-0.0021595796570181847,6.509193917736411e-05,-0.0008252001134678721,0.002312785438128673,0.0017486702361549508
21.473124,21473124,IMU,0,-0.0020521192345768213,-0.001030186889693141,-0.0013869358226656914,0.0026825490408954587,0.002750810337638469
21.473124,21473124,IMU,1,-0.0005877932417206466,-0.00021539196313824505,0.0007945352699607611,0.0010115240422296611,0.002750810337638469
21.983124,21983124,IMU,0,-0.0005881849792785943,-0.0013881147606298327,-0.0008824954275041819,0.0017468893319535633,0.001494540210515237
21.983124,21983124,IMU,1,-0.0019048829562962055,-0.0007645589066669345,-0.001215864554978907,0.0023856772654752708,0.001494540210515237
22.573956,22573956,IMU,0,-0.0009919231524690986,-0.0010597448563203216,-0.0018068220233544707,0.002317666180661132,0.0016717265180449838
22.573956,22573956,IMU,1,-0.00221867929212749,-0.002156345872208476,-0.0015115168644115329,0.0034434065332612624,0.0016717265180449838
23.163956,23163956,IMU,0,-0.0015394020592793822,-0.0013445124495774508,-0.0009438191773369908,0.0022512812056008093,0.0022448271711426908
23.163956,23163956,IMU,1,-5.378838977776468e-05,-0.003024851903319359,-0.0008507580496370792,0.0031426758482083258,0.0022448271711426908
23.663956,23663956,IMU,0,-0.0009499426814727485,-0.00039567286148667336,0.00011060539691243321,0.0010349790651152538,0.0013491665056971334
23.663956,23663956,IMU,1,-0.000786067743320018,-4.493512096814811e-05,-0.0011818257626146078,0.0014200823199252385,0.0013491665056971334
24.203955999999998,24203956,IMU,0,-0.0005898344679735601,-0.0010341365123167634,-0.0009059380390681326,0.0014960169639235195,0.0017798879366833908
24.203955999999998,24203956,IMU,1,-0.0006958013982512057,0.0006369556067511439,-0.0015094471164047718,0.0017799670300325035,0.0017798879366833908
24.753956,24753956,IMU,0,-0.0009624823578633368,-0.0018722789827734232,-0.0009200210333801806,0.002297441964532551,0.004129840196615662
